image_id,region,mode,defect_pixels,defective,score
55d87ed7a.jpg,0,original,0,0,0.36726939050296614
55d87ed7a.jpg,0,bright+20,0,0,0.2774200594799999
55d87ed7a.jpg,0,bright-20,0,0,0.5378369366388962
55d87ed7a.jpg,0,contrast+20%,0,0,0.45035088581757443
55d87ed7a.jpg,0,contrast-20%,0,0,0.3367043538478941
55d87ed7a.jpg,1,original,12149,1,0.2392174025416251
55d87ed7a.jpg,1,bright+20,12149,1,0.25929025792078525
55d87ed7a.jpg,1,bright-20,12149,1,0.34028998456231224
55d87ed7a.jpg,1,contrast+20%,12149,1,0.2518437567131271
55d87ed7a.jpg,1,contrast-20%,12149,1,0.28396749737296295
55d87ed7a.jpg,2,original,2116,1,0.5176705030868636
55d87ed7a.jpg,2,bright+20,2116,1,0.3917973198950856
55d87ed7a.jpg,2,bright-20,2116,1,0.6175700502801509
55d87ed7a.jpg,2,contrast+20%,2116,1,0.5682724300025411
55d87ed7a.jpg,2,contrast-20%,2116,1,0.4583618414234383
55d87ed7a.jpg,3,original,0,0,0.700416052473239
55d87ed7a.jpg,3,bright+20,0,0,0.9845329766982573
55d87ed7a.jpg,3,bright-20,0,0,0.9898331500647635
55d87ed7a.jpg,3,contrast+20%,0,0,0.9915695600232104
55d87ed7a.jpg,3,contrast-20%,0,0,0.9768296503987384
17eeca349.jpg,0,original,0,0,0.33935914608431894
17eeca349.jpg,0,bright+20,0,0,0.48633609994040894
17eeca349.jpg,0,bright-20,0,0,0.3354493287916528
17eeca349.jpg,0,contrast+20%,0,0,0.26928781870259794
17eeca349.jpg,0,contrast-20%,0,0,0.439500747862091
17eeca349.jpg,1,original,0,0,0.3847655552001588
17eeca349.jpg,1,bright+20,0,0,0.4686134895048708
17eeca349.jpg,1,bright-20,0,0,0.4001927378369814
17eeca349.jpg,1,contrast+20%,0,0,0.32293476980677316
17eeca349.jpg,1,contrast-20%,0,0,0.4668566339090564
17eeca349.jpg,2,original,0,0,0.2756642912355778
17eeca349.jpg,2,bright+20,0,0,0.3517684541174762
17eeca349.jpg,2,bright-20,0,0,0.3347343021890225
17eeca349.jpg,2,contrast+20%,0,0,0.22346050541087772
17eeca349.jpg,2,contrast-20%,0,0,0.35715533254978005
17eeca349.jpg,3,original,2113,1,0.08221096826136905
17eeca349.jpg,3,bright+20,2113,1,0.3688662636490829
17eeca349.jpg,3,bright-20,2113,1,0.2912260732660156
17eeca349.jpg,3,contrast+20%,2113,1,0.2115229773305179
17eeca349.jpg,3,contrast-20%,2113,1,0.3223317316636743
ab3fed191.jpg,0,original,0,0,0.609886126027714
ab3fed191.jpg,0,bright+20,0,0,0.9846419167147137
ab3fed191.jpg,0,bright-20,0,0,0.9799871855813631
ab3fed191.jpg,0,contrast+20%,0,0,0.9863783297174535
ab3fed191.jpg,0,contrast-20%,0,0,0.9804206572968487
